pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2022-08-29,95.6,-0.83,5.86,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,14,Oneil Cruz homers (11) on a line drive to right field.    Tucupita Marcano scores.    Jason Delay scores.,R,L,R,MIL,PIT,B,NA,,2,0,2022,0.11,1.46,0.42,1.67,672779,NA,641511,1,5,Top,NA,NA,NA,NA,553882,NA,NA,3.04952905471551,-139.121758327784,-8.7613757725967,0.842636336498096,29.0186027216165,-11.476114125289,3.79,1.83,NA,NA,NA,96.1,2673,6.4,661167,669203,553882,669374,543939,607054,642715,592885,669003,592669,54.1,NA,NA,NA,NA,NA,NA,NA,38,3,Cutter,3,1,1,3,1,3,1,3,Strategic,Standard,201,0,0.174
FC,2022-08-29,95.9,-0.89,5.89,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,14,Oneil Cruz homers (11) on a line drive to right field.    Tucupita Marcano scores.    Jason Delay scores.,R,L,R,MIL,PIT,B,NA,,1,0,2022,0.38,1.14,0.14,1.33,672779,NA,641511,1,5,Top,NA,NA,NA,NA,553882,NA,NA,1.84871758702989,-139.526929250365,-9.07624352603684,4.68729963325223,28.3173809583776,-15.5414858230139,3.81,1.8,NA,NA,NA,96.3,2715,6.3,661167,669203,553882,669374,543939,607054,642715,592885,669003,592669,54.2,NA,NA,NA,NA,NA,NA,NA,38,2,Cutter,3,1,1,3,1,3,1,3,Strategic,Standard,194,0,0.073
CH,2022-08-29,89.4,-0.89,5.77,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,13,Oneil Cruz homers (11) on a line drive to right field.    Tucupita Marcano scores.    Jason Delay scores.,R,L,R,MIL,PIT,B,NA,,0,0,2022,-1.43,0.47,-1.19,0.82,672779,NA,641511,1,5,Top,NA,NA,NA,NA,553882,NA,NA,2.26884295591931,-129.927627111619,-7.10967721204511,-16.5584818162897,29.6005469398878,-25.5258852266329,3.95,1.79,NA,NA,NA,89.1,2187,6.4,661167,669203,553882,669374,543939,607054,642715,592885,669003,592669,54.14,NA,NA,NA,NA,NA,NA,NA,38,1,Changeup,3,1,1,3,1,3,1,3,Strategic,Standard,221,0,0.054
FC,2022-08-29,94.3,-0.66,6.13,"Cruz, Oneil",665833,669203,field_out,hit_into_play,NA,NA,NA,NA,6,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,X,5,ground_ball,3,2,2022,0.43,0.88,0.34,2.49,NA,NA,NA,2,3,Top,140.6,139.89,NA,NA,553882,NA,NA,1.64535902468553,-137.364051349642,-5.76868537282022,5.15682997742125,28.4808061404406,-19.9318170791458,3.76,1.79,31,113.2,-3,94.4,2624,6.2,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.33,0.471,0.424,0,1,0,0,4,17,6,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,174,0.011,-0.116
FC,2022-08-29,94,-0.76,5.96,"Cruz, Oneil",665833,669203,,swinging_strike,NA,NA,NA,NA,2,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,S,NA,,3,1,2022,0.42,0.84,-0.08,3.46,NA,NA,NA,2,3,Top,NA,NA,NA,NA,553882,NA,NA,0.831221745379485,-136.98928246947,-2.6980876056373,5.22705605753768,26.4505644395247,-21.1561469747183,3.76,1.79,NA,NA,NA,94.5,2570,6.2,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.26,NA,NA,NA,NA,NA,NA,NA,17,5,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,184,0,-0.036
CU,2022-08-29,81.1,-0.57,6.11,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,14,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,B,NA,,2,1,2022,0.83,-0.63,0.05,-0.37,NA,NA,NA,2,3,Top,NA,NA,NA,NA,553882,NA,NA,-0.192244611788187,-118.05117617069,-6.69451209695507,7.81650805134965,21.6317435499909,-37.0952682614957,3.6,1.76,NA,NA,NA,81.2,2689,6.2,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.27,NA,NA,NA,NA,NA,NA,NA,17,4,Curveball,0,0,0,0,0,0,0,0,Infield shift,Strategic,52,0,0.039
FC,2022-08-29,94.9,-0.71,6.07,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,14,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,B,NA,,1,1,2022,0.25,0.83,0.14,1.24,NA,NA,NA,2,3,Top,NA,NA,NA,NA,553882,NA,NA,1.65634723338708,-138.083121635823,-8.88691197713219,2.92800317979201,26.6931835352449,-19.9227071729134,3.77,1.78,NA,NA,NA,95.3,2651,6.2,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.27,NA,NA,NA,NA,NA,NA,NA,17,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,179,0,0.021
CU,2022-08-29,80.7,-0.48,6.18,"Cruz, Oneil",665833,669203,,ball,NA,NA,NA,NA,14,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,B,NA,,0,1,2022,0.88,-0.92,0.08,0.43,NA,NA,NA,2,3,Top,NA,NA,NA,NA,553882,NA,NA,-0.412539279451056,-117.481149842638,-4.41824041810162,8.24802133301331,22.125534473256,-40.0410943144766,3.63,1.67,NA,NA,NA,80.8,2718,6.3,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.17,NA,NA,NA,NA,NA,NA,NA,17,2,Curveball,0,0,0,0,0,0,0,0,Infield shift,Strategic,47,0,0.011
CU,2022-08-29,79.9,-0.57,6.21,"Cruz, Oneil",665833,669203,,called_strike,NA,NA,NA,NA,13,"Oneil Cruz grounds out sharply, third baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,R,MIL,PIT,S,NA,,0,0,2022,1.1,-0.97,-0.86,1.85,NA,NA,NA,2,3,Top,NA,NA,NA,NA,553882,NA,NA,-2.70651132200268,-116.318843665617,-1.02889350853265,10.468122378384,22.4994138710865,-40.9980517450425,3.85,1.85,NA,NA,NA,79.6,2673,6.1,661167,669203,553882,642133,543939,607054,642715,592885,669003,592669,54.36,NA,NA,NA,NA,NA,NA,NA,17,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Strategic,49,0,-0.017
FF,2022-08-29,84,2.85,6.32,"Cruz, Oneil",665833,608718,walk,ball,NA,NA,NA,NA,12,Oneil Cruz walks.,R,L,L,MIL,PIT,B,NA,,3,2,2022,-0.62,1.05,0.52,5,NA,NA,NA,1,7,Top,NA,NA,NA,NA,553882,NA,NA,-4.25275489078164,-122.274438454,1.26328043422427,-5.40761846328656,23.0534521928182,-22.0748588576316,3.79,1.8,NA,NA,NA,85.6,2241,7.2,661167,608718,553882,669374,543939,649966,642715,592885,669003,592669,53.31,NA,NA,0.7,1,0,0,NA,56,6,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shift,Standard,180,-0.016,0.212
